model_id,name,input_per_m_usd,output_per_m_usd
aion-labs/aion-1.0,AionLabs: Aion-1.0,4.0,8.0
aion-labs/aion-1.0-mini,AionLabs: Aion-1.0-Mini,0.7,1.4
allenai/molmo-2-8b,AllenAI: Molmo2 8B,0.2,0.2
anthracite-org/magnum-v4-72b,Magnum v4 72B,3.0,5.0
anthropic/claude-3.5-sonnet,Anthropic: Claude 3.5 Sonnet,6.0,30.0
anthropic/claude-opus-4,Anthropic: Claude Opus 4,15.0,75.0
anthropic/claude-opus-4.1,Anthropic: Claude Opus 4.1,15.0,75.0
anthropic/claude-opus-4.5,Anthropic: Claude Opus 4.5,5.0,25.0
anthropic/claude-opus-4.6,Anthropic: Claude Opus 4.6,5.0,25.0
arcee-ai/coder-large,Arcee AI: Coder Large,0.5,0.8
arcee-ai/maestro-reasoning,Arcee AI: Maestro Reasoning,0.9,3.3
arcee-ai/spotlight,Arcee AI: Spotlight,0.18,0.18
arcee-ai/virtuoso-large,Arcee AI: Virtuoso Large,0.75,1.2
deepseek/deepseek-chat,DeepSeek: DeepSeek V3,0.3,1.2
deepseek/deepseek-chat-v3-0324,DeepSeek: DeepSeek V3 0324,0.19,0.87
deepseek/deepseek-chat-v3.1,DeepSeek: DeepSeek V3.1,0.15,0.75
deepseek/deepseek-r1,DeepSeek: R1,0.7,2.5
deepseek/deepseek-r1-0528,DeepSeek: R1 0528,0.4,1.75
deepseek/deepseek-r1-0528:free,DeepSeek: R1 0528 (free),0.0,0.0
deepseek/deepseek-r1-distill-llama-70b,DeepSeek: R1 Distill Llama 70B,0.03,0.11
deepseek/deepseek-r1-distill-qwen-32b,DeepSeek: R1 Distill Qwen 32B,0.29,0.29
deepseek/deepseek-v3.1-terminus,DeepSeek: DeepSeek V3.1 Terminus,0.21,0.79
deepseek/deepseek-v3.1-terminus:exacto,DeepSeek: DeepSeek V3.1 Terminus,0.21,0.79
deepseek/deepseek-v3.2,DeepSeek: DeepSeek V3.2,0.25,0.38
deepseek/deepseek-v3.2-exp,DeepSeek: DeepSeek V3.2 Exp,0.27,0.41
deepseek/deepseek-v3.2-speciale,DeepSeek: DeepSeek V3.2 Speciale,0.27,0.41
google/gemini-2.0-flash-001,Google: Gemini 2.0 Flash,0.1,0.4
google/gemini-2.0-flash-lite-001,Google: Gemini 2.0 Flash Lite,0.07,0.3
google/gemini-2.5-flash,Google: Gemini 2.5 Flash,0.3,2.5
google/gemini-2.5-flash-image,Google: Gemini 2.5 Flash Image (,0.3,2.5
google/gemini-2.5-flash-lite,Google: Gemini 2.5 Flash Lite,0.1,0.4
google/gemini-2.5-flash-lite-preview-09-2025,Google: Gemini 2.5 Flash Lite Pr,0.1,0.4
google/gemini-2.5-flash-preview-09-2025,Google: Gemini 2.5 Flash Preview,0.3,2.5
google/gemini-2.5-pro,Google: Gemini 2.5 Pro,1.25,10.0
google/gemini-2.5-pro-preview,Google: Gemini 2.5 Pro Preview 0,1.25,10.0
google/gemini-2.5-pro-preview-05-06,Google: Gemini 2.5 Pro Preview 0,1.25,10.0
google/gemini-3-flash-preview,Google: Gemini 3 Flash Preview,0.5,3.0
google/gemini-3-pro-image-preview,Google: Nano Banana Pro (Gemini,2.0,12.0
